STRUCTURE_NUMBER_008,MIN_VERT_CLR_010,APPR_WIDTH_MT_032,STRUCTURE_FLARED_035,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,HORR_CLR_MT_047,DECK_AREA,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,MIN_NAV_CLR_MT_116,DEGREES_SKEW_034
000000000027648,99.99,9.1,0,0.0,0.0,1.5,1.5,9.1,12.8,99.99,R,9.27,R,0.0,0.0,9.1,261.12,19.8,20.4,0.0,13
000000000027650,99.99,11.3,0,0.0,0.0,0.2,0.2,11.3,12.4,99.99,N,0.0,N,0.0,0.0,11.3,385.64,30.5,31.1,0.0,35
000000000027651,99.99,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,11.8,72.59,6.1,6.1,0.0,8
000000000027657,99.99,12.2,0,0.0,0.0,1.5,1.5,12.2,16.0,99.99,N,0.0,N,0.0,0.0,12.2,126.4,7.3,7.9,0.0,30
000000000027659,99.99,10.1,0,0.0,0.0,1.5,1.5,7.3,11.0,99.99,H,4.29,H,1.2,99.9,7.3,386.1,34.4,35.1,0.0,49
000000000027660,99.99,10.1,0,0.0,0.0,0.5,1.4,10.4,14.6,99.99,H,4.44,H,2.8,0.0,10.5,280.32,17.7,19.2,0.0,34
000000000027662,99.99,12.8,0,0.0,0.0,0.5,0.5,12.2,13.1,99.99,N,0.0,N,0.0,0.0,12.2,123.14,8.5,9.4,0.0,30
000000000027663,99.99,12.2,0,0.0,0.0,1.5,1.5,12.2,16.0,99.99,N,0.0,N,0.0,0.0,12.2,116.8,7.0,7.3,0.0,0
000000000027664,99.99,7.3,0,0.0,0.0,0.1,1.5,6.8,9.3,99.99,N,0.0,N,0.0,0.0,6.8,305.97,10.1,32.9,0.0,0
000000000027668,99.99,7.9,0,0.0,0.0,0.2,0.2,12.2,13.3,99.99,N,0.0,N,0.0,0.0,12.2,425.6,30.8,32.0,0.0,18
